Num;Name;Overview;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
552;The Evil Within;The Evil Within. conocido en Japón como Psycho Break (サイコブレイク. Saikobureiku. lit. La maldad interior) es un videojuego perteneciente al género de;PS4;2014;Action;Bethesda Softworks;0.55;0.86;0.11;0.27;1.79;75.0;65.0;7.3;1223.0;Tango Gameworks;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;M
556;Street Fighter Anniversary Collection;Street Fighter Anniversary Collection es un pack que incluía los juegos Hyper Street Fighter II: The Anniversary Edition y Street Fighter III: 3rd Strike.;PS2;2004;Fighting;Capcom;0.32;0.25;0.0;0.08;0.66;78.0;30.0;8.7;20.0;Capcom;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
557;Fist of the North Star: Ken's Rage;Fist of the North Star: Ken's Rage. conocido originalmente en Japón como Hokuto Musou (北斗 Hokuto Musō). es un videojuego del género Beat'em up para las;PS3;2010;Action;Ubisoft Annecy;0.06;0.03;0.55;0.01;0.66;60.0;30.0;6.9;29.0;Koei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;Radiata Stories;Radiata Stories es un videojuego de Acción/RPG. Las batallas son en tiempo real y se producen mediante encuentros en el mapa de viaje. lo que transportan a un;PS2;2005;Role-Playing;Square Enix;0.18;0.14;0.29;0.05;0.65;74.0;36.0;9.0;54.0;Tri-Ace;T;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
560;Mortal Kombat;Mortal Kombat (comúnmente abreviado MK) es una franquicia de videojuego de lucha creada por Ed Boon y John Tobias en 1992. Las cuatro primeras entregas;PS3;2011;Fighting;Warner Bros. Interactive Entertainment;1.98;0.53;0.0;0.34;2.84;84.0;60.0;8.4;494.0;NetherRealm Studios;M;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
561;Harry Potter and the Goblet of Fire;Harry Potter y el cáliz de fuego (título original en inglés. Harry Potter and the Goblet of Fire) es la cuarta película basada en la famosa serie de novelas;PS2;2005;Action;Electronic Arts;0.54;0.02;0.0;0.09;0.65;68.0;29.0;6.7;48.0;Electronic Arts;E10+;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
562;God of War III;"God of War III es un videojuego de acción en tercera persona desarrollado por SCE Santa Monica Studio y publicado por Sony Computer Entertainment.
 Modos de juego: Un jugador
 Motor: Santa Monica's God of War III Engine
 Director(es): Stig Asmussen
 Idioma(s): inglés
 ‎Argumento · ‎Modo de juego · ‎Desarrollo · ‎Lanzamiento";PS3;2010;Action;Sony Computer Entertainment;2.74;1.33;0.12;0.61;4.8;92.0;101.0;8.7;2633.0;SCE Santa Monica;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
563;Borderlands 2;Dynamic Co-op online. and LAN: Share your adventures with friends both online and via LAN. Borderlands 2 features a seamless system enabling you to drop in and;X360;2012;Shooter;Take-Two Interactive;1.89;0.88;0.04;0.25;03.05;89.0;59.0;8.2;892.0;Gearbox Software;M;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;M
564;Harry Potter and the Half-Blood Prince;"Harry Potter y el misterio del príncipe (título original en inglés. Harry Potter and the Half-Blood Prince) es la sexta película de la saga de Harry Potter.
 Presupuesto: $250 millones
 Protagonistas: Daniel Radcliffe; ‎Rupert Grint‎;";Wii;2009;Action;Electronic Arts;0.28;0.39;0.0;0.08;0.75;60.0;35.0;6.0;8.0;EA Bright Light;E10+;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
565;Drawn to Life: The Next Chapter;Drawn to Life: The Next Chapter is a 2D platforming game in which the player draws their own protagonist to play as. as well as many of the game's in-game;Wii;2009;Puzzle;THQ;0.28;0.39;0.0;0.08;0.75;58.0;22.0;6.0;8.0;Planet Moon Studios;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
566;James Bond 007: Everything or Nothing;James Bond 007: Everything or Nothing es un videojuego de James Bond protagonizado por Pierce Brosnan. Willem Dafoe. Shannon Elizabeth. Heidi Klum.;PS2;2004;Shooter;Electronic Arts;0.85;01.06;0.09;0.32;2.31;84.0;42.0;9.1;51.0;EA Redwood Shores;T;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
571;Onimusha: Dawn of Dreams;Onimusha: Dawn of Dreams. released in Japan as Shin Onimusha: Dawn of Dreams (新 鬼武者 Dawn of Dreams). is an action-adventure video game developed and;PS2;2006;Action;Capcom;0.15;0.12;0.34;0.04;0.64;81.0;45.0;8.9;62.0;Capcom;M;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;T
572;Real Heroes: Firefighter;In this first-person fire and rescue action game. don the soot-stained boots of an everyday hero. as a newly graduated academy cadet getting their start in;Wii;2009;Action;Rondomedia;0.56;0.04;0.0;0.05;0.64;67.0;18.0;8.2;10.0;Epicenter Studios;E10+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;ET
575;The Crew;The Crew is a revolutionary action-driving MMO. developed exclusively for next-gen consoles and high-end PCs that leverage new hardware capabilities to;PS4;2014;Racing;Ubisoft;0.35;01.08;0.03;0.26;1.72;61.0;60.0;5.4;575.0;Ubisoft Reflections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;Madden NFL 2001;Madden NFL 2001 is an American football video game. It is the third in the Madden NFL series to include an NFL player. Tennessee Titans running back Eddie;PS;2000;Sports;Electronic Arts;1.58;0.05;0.0;0.04;1.67;90.0;14.0;6.8;4.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
